image_id,path,true_label,true_arabic_digit,true_shape_description,predicted_label,predicted_arabic_digit,predicted_shape_description,confidence,correct
1684,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1684.bmp,1,١,a simple vertical stroke,1,١,a simple vertical stroke,0.622133,True
1750,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1750.bmp,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,0.546245,True
1761,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1761.bmp,5,٥,a small teardrop or circle; resembles a Western 0,5,٥,a small teardrop or circle; resembles a Western 0,0.556172,True
1771,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1771.bmp,7,٧,a sharp V-shape pointing downward,7,٧,a sharp V-shape pointing downward,0.485637,True
1794,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1794.bmp,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,0.441043,True
1814,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1814.bmp,9,٩,a small loop at the top with a straight descending tail,9,٩,a small loop at the top with a straight descending tail,0.492902,True
1833,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1833.bmp,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,0.355757,True
1868,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1868.bmp,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,0.443159,True
1875,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1875.bmp,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,0.343565,True
1925,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1925.bmp,8,٨,an inverted V-shape pointing upward like a mountain peak,8,٨,an inverted V-shape pointing upward like a mountain peak,0.452515,True
1959,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\1959.bmp,1,١,a simple vertical stroke,1,١,a simple vertical stroke,0.591840,True
2030,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2030.bmp,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,0.532972,True
2065,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2065.bmp,6,٦,a horizontal line curving down to the left; like a 7,6,٦,a horizontal line curving down to the left; like a 7,0.457969,True
2077,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2077.bmp,0,٠,"a centered, solid dot",0,٠,"a centered, solid dot",0.737094,True
2080,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2080.bmp,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,0.374106,True
2094,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2094.bmp,8,٨,an inverted V-shape pointing upward like a mountain peak,8,٨,an inverted V-shape pointing upward like a mountain peak,0.396308,True
2106,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2106.bmp,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,0.439308,True
2110,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2110.bmp,6,٦,a horizontal line curving down to the left; like a 7,6,٦,a horizontal line curving down to the left; like a 7,0.435731,True
2117,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2117.bmp,0,٠,"a centered, solid dot",0,٠,"a centered, solid dot",0.769984,True
2146,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2146.bmp,7,٧,a sharp V-shape pointing downward,7,٧,a sharp V-shape pointing downward,0.335762,True
2150,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2150.bmp,9,٩,a small loop at the top with a straight descending tail,9,٩,a small loop at the top with a straight descending tail,0.415983,True
2163,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2163.bmp,8,٨,an inverted V-shape pointing upward like a mountain peak,8,٨,an inverted V-shape pointing upward like a mountain peak,0.512362,True
2239,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2239.bmp,0,٠,"a centered, solid dot",0,٠,"a centered, solid dot",0.773902,True
2282,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2282.bmp,6,٦,a horizontal line curving down to the left; like a 7,6,٦,a horizontal line curving down to the left; like a 7,0.483832,True
2289,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2289.bmp,7,٧,a sharp V-shape pointing downward,7,٧,a sharp V-shape pointing downward,0.552127,True
2292,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2292.bmp,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,0.454194,True
2318,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2318.bmp,6,٦,a horizontal line curving down to the left; like a 7,6,٦,a horizontal line curving down to the left; like a 7,0.506489,True
2353,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2353.bmp,1,١,a simple vertical stroke,1,١,a simple vertical stroke,0.600045,True
2357,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2357.bmp,5,٥,a small teardrop or circle; resembles a Western 0,5,٥,a small teardrop or circle; resembles a Western 0,0.572177,True
2379,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2379.bmp,7,٧,a sharp V-shape pointing downward,7,٧,a sharp V-shape pointing downward,0.531900,True
2394,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2394.bmp,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,4,٤,a mirrored cursive 'E' or a zig-zag shape with two loops,0.415389,True
2455,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2455.bmp,1,١,a simple vertical stroke,1,١,a simple vertical stroke,0.597962,True
2470,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2470.bmp,9,٩,a small loop at the top with a straight descending tail,9,٩,a small loop at the top with a straight descending tail,0.493007,True
2492,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2492.bmp,5,٥,a small teardrop or circle; resembles a Western 0,5,٥,a small teardrop or circle; resembles a Western 0,0.562631,True
2570,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2570.bmp,5,٥,a small teardrop or circle; resembles a Western 0,5,٥,a small teardrop or circle; resembles a Western 0,0.393434,True
2580,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2580.bmp,5,٥,a small teardrop or circle; resembles a Western 0,5,٥,a small teardrop or circle; resembles a Western 0,0.562487,True
2599,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2599.bmp,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,0.298911,True
2609,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2609.bmp,7,٧,a sharp V-shape pointing downward,7,٧,a sharp V-shape pointing downward,0.495784,True
2652,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2652.bmp,5,٥,a small teardrop or circle; resembles a Western 0,5,٥,a small teardrop or circle; resembles a Western 0,0.544244,True
2707,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2707.bmp,6,٦,a horizontal line curving down to the left; like a 7,6,٦,a horizontal line curving down to the left; like a 7,0.531271,True
2713,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2713.bmp,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,0.410715,True
2735,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2735.bmp,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,0.363269,True
2814,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2814.bmp,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,3,٣,a horizontal stroke with two small peaks or 'teeth' curving down,0.347038,True
2817,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2817.bmp,9,٩,a small loop at the top with a straight descending tail,9,٩,a small loop at the top with a straight descending tail,0.287680,True
2824,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2824.bmp,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,2,٢,a horizontal hook curving into a vertical line; like a reversed 7,0.343906,True
2867,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2867.bmp,6,٦,a horizontal line curving down to the left; like a 7,6,٦,a horizontal line curving down to the left; like a 7,0.331369,True
2937,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\2937.bmp,5,٥,a small teardrop or circle; resembles a Western 0,5,٥,a small teardrop or circle; resembles a Western 0,0.565776,True
3061,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\3061.bmp,6,٦,a horizontal line curving down to the left; like a 7,6,٦,a horizontal line curving down to the left; like a 7,0.486241,True
3251,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\3251.bmp,0,٠,"a centered, solid dot",0,٠,"a centered, solid dot",0.437551,True
3291,C:\Users\Moheb\ELC4028-Neural-Networks\Assignment 1\Problem 3\Pipeline3\PracticalGroundTruth500_Unlabeled\3291.bmp,5,٥,a small teardrop or circle; resembles a Western 0,5,٥,a small teardrop or circle; resembles a Western 0,0.376250,True
